title,company,city,salary,duration,education,workDaysPerWeek,matchScore,matchReasons,resumeAdvice,link,source,crawledAt
AIGC视频剪辑,爱看互动,沈阳,薪资面议,6个月,大专,6天／周,62,包含相关技能或方向：AIGC,突出 ComfyUI、AIGC 工作流、静态网页和数字展陈项目。,https://www.shixiseng.com/intern/inn_ysmc8x8lryho?pcm=pc_SearchList,shixiseng,2026-06-16T09:33:38.824Z
AIGC内容实习生,扶光,深圳,200-300/天,3个月,本科,5天／周,82,包含相关技能或方向：AIGC | 包含相关技能或方向：AI工具 | 包含相关技能或方向：数据,突出 ComfyUI、AIGC 工作流、静态网页和数字展陈项目。,https://www.shixiseng.com/intern/inn_gcqh1x4ivjnq?pcm=pc_SearchList,shixiseng,2026-06-16T09:33:38.824Z
AIGC视频实习生,百度,北京,200-250/天,3个月,不限,5天／周,80,包含相关技能或方向：AIGC | 包含相关技能或方向：数字媒体 | 包含相关技能或方向：数据,突出 ComfyUI、AIGC 工作流、静态网页和数字展陈项目。,https://www.shixiseng.com/intern/inn_uzuudwjstmuc?pcm=pc_SearchList,shixiseng,2026-06-16T09:33:38.824Z
aigc视频剪辑实习生,网眼软件,南京,100-120/天,3个月,本科,5天／周,97,包含相关技能或方向：AIGC | 包含相关技能或方向：AI | 包含相关技能或方向：AI工具 | 包含相关技能或方向：数字媒体 | 学历要求较友好：本科,突出 ComfyUI、AIGC 工作流、静态网页和数字展陈项目。,https://www.shixiseng.com/intern/inn_9rkhy9xibkqp?pcm=pc_SearchList,shixiseng,2026-06-16T09:33:38.824Z
AIGC视频实习生,光合元素,南京,80-100/天,3个月,大专,5天／周,92,包含相关技能或方向：AIGC | 包含相关技能或方向：AI | 包含相关技能或方向：AI工具 | 包含相关技能或方向：数字媒体,突出 ComfyUI、AIGC 工作流、静态网页和数字展陈项目。,https://www.shixiseng.com/intern/inn_lmj1mr6ejwbn?pcm=pc_SearchList,shixiseng,2026-06-16T09:33:38.824Z
AIGC实习生(J11929),喜马拉雅,上海,150-180/天,3个月,本科,5天／周,78,包含相关技能或方向：AIGC | 包含相关技能或方向：AI | 包含相关技能或方向：数据 | 包含相关技能或方向：数据分析 | 学历要求较友好：本科 | 存在较高门槛：硕士,突出 ComfyUI、AIGC 工作流、静态网页和数字展陈项目。,https://www.shixiseng.com/intern/inn_uf8mq2glhz1b?pcm=pc_SearchList,shixiseng,2026-06-16T09:33:38.824Z
AIGC内容运营,百度,北京,120-150/天,6个月,不限,5天／周,75,包含相关技能或方向：AIGC | 包含相关技能或方向：AI | 学历要求较友好：不限,突出 ComfyUI、AIGC 工作流、静态网页和数字展陈项目。,https://www.shixiseng.com/intern/inn_exlwmsjnxush?pcm=pc_SearchList,shixiseng,2026-06-16T09:33:38.824Z
AIGC算法实习生,百度,北京,250-500/天,3个月,硕士,5天／周,89,包含相关技能或方向：AIGC | 包含相关技能或方向：AI | 包含相关技能或方向：LLM | 包含相关技能或方向：数据 | 包含相关技能或方向：C++ | 包含相关技能或方向：C/C++ | 学历要求较友好：不限 | 存在较高门槛：硕士 | 存在较高门槛：6个月以上,突出 C++ OOP 项目、算法竞赛或工程实践经历。 | 突出 ComfyUI、AIGC 工作流、静态网页和数字展陈项目。,https://www.shixiseng.com/intern/inn_bldhl8wj7ro8?pcm=pc_SearchList,shixiseng,2026-06-16T09:33:38.824Z
AIGC效果实习生,美图公司,北京,150-180/天,4个月,本科,5天／周,75,包含相关技能或方向：AIGC | 包含相关技能或方向：AI | 包含相关技能或方向：AI工具 | 学历要求较友好：本科 | 岗位方向可能不匹配：销售,突出 ComfyUI、AIGC 工作流、静态网页和数字展陈项目。,https://www.shixiseng.com/intern/inn_sl2cfirw95sp?pcm=pc_SearchList,shixiseng,2026-06-16T09:33:38.824Z
AIGC生成及发布,上汽乘用车,上海,100-150/天,3个月,不限,4天／周,93,包含相关技能或方向：AIGC | 包含相关技能或方向：AI | 包含相关技能或方向：数据 | 包含相关技能或方向：数据分析 | 学历要求较友好：不限,突出 ComfyUI、AIGC 工作流、静态网页和数字展陈项目。,https://www.shixiseng.com/intern/inn_cyv1skvtyzn2?pcm=pc_SearchList,shixiseng,2026-06-16T09:33:38.824Z
